Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),P_CO2 (Pa),P_H2O (Pa),Albedo,Recirculation_Factor,Surface_Temp (K),Status
run_285,1932.9737770066229,M5,6371000.0,5.972e+24,100000.0,31699.871133916684,352.98286094681424,0.4128424469144617,0.666,393.075,Success
run_286,249.2216407280219,M5,6371000.0,5.972e+24,100000.0,742.7019774677614,46863.93218896272,0.1792521685702158,0.666,243.441,Success
run_287,1638.0399643917995,M5,6371000.0,5.972e+24,100000.0,49.36829306230802,56.26295177415286,0.3941282503124281,0.666,372.591,Success
run_288,2010.0815977929803,M5,6371000.0,5.972e+24,100000.0,0.20838855716453503,462.6451257383132,0.4727366315447405,0.666,391.682,Success
run_289,963.3015878055702,M5,6371000.0,5.972e+24,100000.0,3.706909919770432,132.3500328525715,0.43808958564021283,0.666,325.886,Success
run_290,1732.4893861296136,M5,6371000.0,5.972e+24,100000.0,99725.43071175268,27355.88123665272,0.03764027507702102,0.666,402.572,Success
run_291,1649.0835979711937,M5,6371000.0,5.972e+24,100000.0,18.994723920043224,641.4905769895261,0.1654874936999255,0.666,375.815,Success
run_293,840.5542198698212,M5,6371000.0,5.972e+24,100000.0,1.2640943324571186,70614.4727392744,0.3601346559143992,0.666,325.737,Success
run_292,833.2267130629775,M5,6371000.0,5.972e+24,100000.0,7933.4315987463215,31899.51168037143,0.10716079637729704,0.666,331.018,Success
run_294,571.7119391626629,M5,6371000.0,5.972e+24,100000.0,854.92436223585,44959.24547387092,0.3744478049454064,0.666,295.325,Success
run_296,1446.7944964185556,M5,6371000.0,5.972e+24,100000.0,0.5727767423991142,0.954696617695886,0.38153407614698037,0.666,361.078,Success
run_295,938.0458840105508,M5,6371000.0,5.972e+24,100000.0,2.7710218024650346,78442.84578679342,0.3767294404844512,0.666,335.033,Success
run_297,1999.595131937952,M5,6371000.0,5.972e+24,100000.0,350.6871441388757,107.27503409433172,0.3812753524871528,0.666,392.102,Success
run_298,1899.707536685079,M5,6371000.0,5.972e+24,100000.0,9.919525622082006,0.8673357306932786,0.22774606215030604,0.666,386.802,Success
run_299,288.1684634194595,M5,6371000.0,5.972e+24,100000.0,67254.52507778439,565.042658355465,0.35828769680275013,0.666,245.535,Success
run_300,493.9370769761941,M5,6371000.0,5.972e+24,100000.0,37381.802239482226,3.0861287060873583,0.18230773614687684,0.666,281.643,Success
run_301,1092.2922862083583,M5,6371000.0,5.972e+24,100000.0,0.8653755245000119,1.8160940392688316,0.44878397109467266,0.666,336.5,Success
run_302,393.2473507321685,M5,6371000.0,5.972e+24,100000.0,638.049844877924,1165.8484308780846,0.22016391762764764,0.666,263.358,Success
run_303,796.6061012355641,M5,6371000.0,5.972e+24,100000.0,0.14570987117795092,542.9984052879291,0.3237829760213079,0.666,311.754,Success
run_304,262.9637973384671,M5,6371000.0,5.972e+24,100000.0,45.586219962802936,2841.3550375661553,0.01956986456688508,0.666,240.212,Success
run_305,1227.1269739515187,M5,6371000.0,5.972e+24,100000.0,5396.76650877296,4.962246554122402,0.21314576419148998,0.666,350.248,Success
run_306,1398.8890406646435,M5,6371000.0,5.972e+24,100000.0,7.872641878130993,432.7674414272119,0.31238720365846384,0.666,359.146,Success
run_307,1730.3968125621245,M5,6371000.0,5.972e+24,100000.0,25329.604746234825,1194.0910594777665,0.2780934424659813,0.666,385.277,Success
run_308,999.634575768806,M5,6371000.0,5.972e+24,100000.0,45.32378803045028,10693.382592687436,0.23232336638146672,0.666,336.161,Success
run_309,219.43384209324995,M5,6371000.0,5.972e+24,100000.0,0.9409339357407328,87.936790367413,0.4051494821696225,0.666,225.044,Success
run_311,560.4979990227919,M5,6371000.0,5.972e+24,100000.0,0.17852538406120178,21069.492155193435,0.4542295157403077,0.666,289.196,Success
run_310,467.24769522251387,M5,6371000.0,5.972e+24,100000.0,36178.351383488465,66986.23342660787,0.13734789068246142,0.666,290.206,Success
run_312,1595.168715040605,M5,6371000.0,5.972e+24,100000.0,248.42668002064187,0.19558980525970948,0.22392250254715368,0.666,370.991,Success
run_313,280.8839973825999,M5,6371000.0,5.972e+24,100000.0,4982.111677431137,19.207958012341926,0.46274256307797684,0.666,240.627,Success
run_316,1524.8341768063574,M5,6371000.0,5.972e+24,100000.0,240.35971905753496,52.43172328656092,0.1318882898526986,0.666,367.626,Success
run_315,1571.7870602298588,M5,6371000.0,5.972e+24,100000.0,16976.560479313273,3371.955795880683,0.02425732050471309,0.666,380.917,Success
run_314,1856.187148943131,M5,6371000.0,5.972e+24,100000.0,563.2748798214728,67229.8049408546,0.37301435151377826,0.666,399.791,Success
run_317,1117.0216340279298,M5,6371000.0,5.972e+24,100000.0,12.08869391218093,570.4606243318503,0.35119751224055534,0.666,339.305,Success
run_318,1872.6839250657113,M5,6371000.0,5.972e+24,100000.0,1753.6942136035057,2.816142741353768,0.4946886902229447,0.666,384.857,Success
