Run_ID,Instellation (W/m^2),Spectral_Type,R_Planet (m),M_Planet (kg),P_Surface (Pa),x_CO2,x_H2O,Albedo,Recirculation_Factor,Surface_Temp (K),Status
run_532,173.52961718066686,G2,6371000.0,5.972e+24,324726.14971266617,0.005518465582574002,0.6180925512474338,0.1834167266375348,0.25,188.648,Success
run_533,201.2844226718889,G2,6371000.0,5.972e+24,55332.476598363464,8.907982364896585e-05,0.0532373873726674,0.07671266739962267,0.25,175.734,Success
run_534,2411.4360686502996,G2,6371000.0,5.972e+24,590664.3104039677,0.0005544759334886839,0.0032084383849967906,0.30492070539220023,0.25,328.631,Success
run_535,477.5089372007853,G2,6371000.0,5.972e+24,12178.39733180585,2.250883179613569e-06,0.005380551699190439,0.2749251799085809,0.25,214.256,Success
run_536,1156.8983129321791,G2,6371000.0,5.972e+24,319566.52592323796,1.0710006832525308e-06,0.3054719840300445,0.182739100600382,0.25,286.671,Success
run_537,2135.8066923943534,G2,6371000.0,5.972e+24,11939.625931130413,0.0007607308441924933,0.007644091625458563,0.2554843390928122,0.25,311.77,Success
run_539,1474.8204702314258,G2,6371000.0,5.972e+24,92868.4708511458,8.893266516781601e-06,6.425569107502895e-06,0.4879020325299597,0.25,283.862,Success
run_540,1302.630984575699,G2,6371000.0,5.972e+24,85813.85383436912,7.059144971682085e-06,2.60725974347502e-06,0.07968452220259138,0.25,275.379,Success
run_538,786.0180801687184,G2,6371000.0,5.972e+24,88439.49846591137,6.801226751096442e-06,0.0009311203347658606,0.29982046613976193,0.25,242.701,Success
run_541,2205.260991162813,G2,6371000.0,5.972e+24,67940.98071583541,0.47952358402855666,3.2238164093355623e-06,0.05815668837032547,0.25,320.826,Success
run_542,1907.7951678477973,G2,6371000.0,5.972e+24,127663.83803779246,0.11504715451207921,0.0019169783495605634,0.4246338070269221,0.25,305.176,Success
run_543,253.56413372267366,G2,6371000.0,5.972e+24,102548.96701880374,0.0631798153941234,0.9387176489471261,0.10861949682744504,0.25,198.509,Success
run_544,2079.170017008465,G2,6371000.0,5.972e+24,18010.230549691914,0.08997608778020039,0.020096693699998898,0.20534206083125392,0.25,310.845,Success
run_545,1886.224856307431,G2,6371000.0,5.972e+24,215652.35429209078,0.0237275923351074,0.0163191746374914,0.45244270960124056,0.25,304.125,Success
run_546,1974.8056477901505,G2,6371000.0,5.972e+24,274129.51758249965,0.0005270382651177241,0.9622461734731258,0.20578516453242895,0.25,336.311,Success
run_547,2213.3546465996837,G2,6371000.0,5.972e+24,149027.0189956908,0.02419878600989572,0.00031691398026580385,0.0989481777135311,0.25,319.058,Success
run_548,1806.5303579276178,G2,6371000.0,5.972e+24,827584.1412176715,0.3830461978352104,4.309517433999023e-05,0.29265137251356643,0.25,312.418,Success
run_549,419.19897862771575,G2,6371000.0,5.972e+24,13354.80487000908,0.00120074694010134,0.00019131162496128308,0.32396012303796806,0.25,207.417,Success
run_551,2578.280051424893,G2,6371000.0,5.972e+24,17286.597771350975,0.1088295549533819,0.00017612751669044812,0.40377776133154114,0.25,326.626,Success
run_550,2628.6761041123887,G2,6371000.0,5.972e+24,107707.37510388484,0.003279267352873025,0.1590383860211394,0.4072517123394143,0.25,333.52,Success
run_552,488.1313067299207,G2,6371000.0,5.972e+24,50820.778213499914,0.0287602815723223,0.10198409654514348,0.2967163397532508,0.25,217.694,Success
run_553,890.0385039142399,G2,6371000.0,5.972e+24,218929.2755088635,0.029545403661192248,0.6592728632341195,0.00957316550347809,0.25,278.424,Success
run_554,2028.8774207900512,G2,6371000.0,5.972e+24,90996.1674235705,7.767385739963767e-05,2.9262904009365763e-05,0.46366561943517376,0.25,307.36,Success
run_555,1885.133915983033,G2,6371000.0,5.972e+24,110959.19165779004,4.854625353282503e-06,0.0017463905385950384,0.36503761453805483,0.25,301.863,Success
run_556,1564.9030317105485,G2,6371000.0,5.972e+24,514104.0101337507,6.261919928800962e-05,0.004039005470884767,0.1414616238836593,0.25,296.427,Success
run_557,806.9758081039013,G2,6371000.0,5.972e+24,230980.7573060624,0.00046272542330483377,0.0015568146814800257,0.4557678470304156,0.25,242.969,Success
run_558,2534.8254180059357,G2,6371000.0,5.972e+24,17849.81226193797,0.0006654174840311931,7.50524814356693e-05,0.3944112178890444,0.25,325.151,Success
run_559,2069.0874259347866,G2,6371000.0,5.972e+24,29889.19038790289,0.12356925033054819,0.0004366686389487525,0.24136966200653542,0.25,310.74,Success
run_560,1252.5072231540632,G2,6371000.0,5.972e+24,15515.689062046136,0.0028152797927715953,1.434888056635942e-05,0.09412145765202176,0.25,272.843,Success
